"Global_x","Global_y","pop_ID"
2052.969482,589.8265381,"Tumor B"
2054.605469,328.9389038,"Tumor B"
2066.060547,521.0151367,"Tumor B"
3594.360352,1914.383667,"Tumor B"
3585.238525,1881.70459,"Tumor B"
3603.370361,1785.300903,"Tumor B"
3592.082764,1440.247925,"Tumor B"
3486.5,1159.5,"Tumor B"
3480.890381,1113.684937,"Tumor B"
2087.393066,1649.317871,"Tumor B"
2064.927979,1914.280029,"Microglia B"
2700.434082,75.38679504,"Tumor B"
2277.683105,116.9929581,"Tumor B"
2227.026611,121.3628311,"Tumor A"
2595.560547,92.09091187,"Macrophage B"
2073.505127,1142.421875,"Tumor B"
3594.130127,1689.520752,"Tumor B"
3580.886475,1792.738647,"Tumor B"
3522.333252,2019.460815,"Tumor B"
3521.1875,1989.887451,"DNT B"
3512.085449,1950.953979,"Tumor B"
3587.459717,1901.612915,"Tumor B"
3523.139893,1923.23999,"Tumor B"
3460.808594,1987.808472,"Tumor B"
3333.578857,953.25,"Microglia B"
3316.681152,693.8275757,"Tumor B"
3424.454834,1074.841187,"Tumor B"
2075.516113,1387.70166,"Microglia B"
2696.855225,169.171051,"Microglia B"
2990.026611,50.0177002,"Macrophage B"
2268.663818,122.25,"Tumor B"
2090.17749,437.4032288,"Tumor B"
2113.147461,353.942627,"Tumor B"
2091.321533,1105.846924,"Microglia B"
2125.857178,1133.9375,"Tumor B"
2063.525146,1218.848877,"Tumor B"
3566.032471,1748.486084,"Tumor B"
3469.397705,1948.04541,"Microglia B"
3469.748047,1922.444458,"Tumor B"
3398,1955,"Macrophage B"
3466.901367,2019.49292,"Tumor B"
3460.166748,2026.511108,"Microglia B"
3454.952881,2043.254761,"Tumor B"
3240.754639,521.71698,"Tumor B"
3180.102539,467.2307739,"Tumor B"
3085.804199,430.5454407,"Tumor B"
2690.096191,456.4230652,"Tumor B"
2909.195313,627.578125,"Tumor B"
2723.893555,625.6489258,"Tumor B"
3467.5625,1117.694458,"Tumor B"
3453.085693,1154.076172,"Tumor B"
3363.041016,1020.520569,"Tumor B"
3325.822266,1021.799988,"Macrophage B"
2214.263184,1276.434204,"Tumor B"
2168.288818,1296.122192,"Tumor B"
2163.467285,1187.278687,"Macrophage B"
2091.594238,1515.275391,"Tumor B"
2087.175049,1394.612549,"Microglia B"
2108.016357,1771.512207,"Tumor B"
2633.414307,92.91428375,"Tumor B"
2473.330078,383.7669983,"Tumor B"
2399.016846,416.9491577,"Tumor B"
2464.449219,344.4057922,"Tumor B"
2476.100098,449.9166565,"Tumor B"
2223.766113,178.1298676,"Tumor B"
2073.130371,294.5,"Tumor B"
2076.676025,315.9788818,"Tumor B"
2112.798096,1193.807739,"Tumor B"
2064.063232,548.5263062,"Tumor B"
2247.267822,667.8828735,"Tumor B"
2167.007324,722.1087036,"Tumor B"
2181.429688,663.15625,"Microglia B"
2074.036377,804.284668,"Tumor B"
2055.926514,603.5147095,"Tumor B"
2400.873779,2043.540527,"Tumor B"
3038.248047,2040.94397,"Tumor B"
3476.493408,1877.888184,"Tumor B"
3561.75,1771.229126,"Tumor B"
3544.285645,1768.261108,"Tumor B"
3481.642822,1939.941528,"Tumor B"
3097.65918,438.4370422,"Tumor B"
3280.5,664.1346436,"Tumor B"
3226.790283,531.5314941,"Tumor B"
2706.52124,632.0563354,"Microglia B"
2618.718994,479.8347168,"Tumor B"
2600.492432,490.6315918,"Tumor B"
2654.971436,661.6142578,"Tumor B"
2866.429688,697.375,"Tumor B"
2906.209961,697.0864258,"Tumor A"
2810.195313,700.9769897,"Tumor B"
2740.330566,659.6609497,"Tumor B"
3050.06958,891.2615967,"Tumor B"
3043.0354,948.3829956,"Tumor B"
3022.561523,915.869873,"Tumor B"
2965.63916,971.8556519,"Macrophage B"
2998.629395,988.2657471,"Tumor B"
2958.031738,1032.882568,"Tumor B"
3423.755859,1093.313965,"Microglia B"
3366.3125,1069.335205,"Tumor B"
3361.187988,1033.359009,"Microglia B"
2084.545898,1366.354126,"Tumor B"
2135.245361,1358.927246,"Tumor B"
2171.05957,1307.357178,"Tumor B"
2465.072998,1126.413208,"Tumor B"
2458.594727,1029.522949,"Tumor B"
2514.295166,1101.049194,"Tumor B"
2678.075439,1724.915527,"Tumor B"
2707.413818,1734.655151,"Tumor B"
2611.103027,1782.745483,"Tumor B"
2429.436279,2031.321167,"Tumor B"
2671.589844,2019.096191,"Tumor B"
2245.716064,1751.341919,"Tumor B"
2315.276123,1754.15332,"Tumor B"
2274.157227,1806.642822,"Tumor B"
2187.280273,1908.178345,"Microglia B"
2596.5,104.265625,"Tumor B"
2587.472412,114.4175797,"Tumor B"
2684.20459,366.2840881,"Tumor B"
2676.302734,282.0263062,"Tumor B"
2500.138916,353.694458,"Tumor B"
2639.273438,465.0896912,"Tumor B"
2691.076416,402.6815186,"Tumor B"
2618.254883,451.2418213,"Tumor B"
2571.882813,437.2716064,"Tumor B"
2519.365479,431.9807739,"Macrophage B"
2557.595215,417.6904907,"Tumor B"
2216.453125,160.140625,"Microglia A"
2151.562012,180.8823547,"Tumor B"
2188.552734,249.2807007,"Tumor B"
2160.064941,253.8961029,"Tumor B"
2188.504883,339.4951477,"Microglia B"
2147.36499,399.7349854,"Tumor B"
2105.315674,288.8947449,"DNT B"
2082.581299,928.3062744,"Tumor B"
2102.267334,1208.941895,"Microglia B"
2151.17334,1182.426636,"Tumor B"
2529.573242,1075.914673,"Tumor B"
2527.135498,1005.375,"Tumor B"
2595.855225,1043.296509,"Tumor B"
2439.312012,970.3359985,"Tumor B"
2486.085449,993.6158447,"Tumor B"
2443.678467,479.2142944,"Tumor B"
2359.767578,496.2626343,"Tumor B"
2332.626465,652.1204834,"Microglia B"
2430.335693,737.0136719,"Tumor B"
2616.193604,701.2580566,"Tumor B"
2143.570801,625.7020264,"Microglia B"
2154.983643,689.0409546,"Tumor B"
2086.667969,668.5983887,"Tumor B"
2090.25,717.666687,"Microglia B"
2233.038574,622.7596436,"Microglia B"
2092.239258,742.6564331,"Tumor B"
2839.263916,2038.319458,"Tumor B"
3265.798828,2027.726196,"Tumor B"
3466.600098,1838,"Tumor B"
3405.844971,1977.690186,"Tumor B"
3381.434814,1992.028931,"Tumor B"
3203.696533,499.5535583,"Tumor B"
3144.547852,537.7043457,"Tumor B"
3112.951416,478.9203491,"Tumor B"
3049.664063,562.9850464,"Tumor B"
3293.898438,874.203125,"Microglia B"
3283.05957,817.2142944,"Tumor B"
3253.67334,727.5247803,"Tumor B"
3242.352295,759.1428833,"Tumor B"
3150.285645,557.8639526,"Tumor B"
3197.222168,792.7407227,"Tumor B"
2631.814697,689.2963257,"Tumor B"
2589.524414,734.5734253,"DNT B"
2430.263916,811.5040283,"Tumor B"
2411.637695,809.5918579,"Tumor B"
2483.39624,776.8475342,"Tumor B"
2670.36499,691.6031494,"Tumor B"
2721.358887,740.0610962,"Tumor B"
2743.800049,876.7999878,"Microglia B"
2707.413086,922.6521606,"Tumor B"
2694.751465,915.6727295,"Tumor B"
2742.192383,979.6846313,"Tumor B"
2770.537354,959.7313232,"Microglia B"
2727.170898,982.9547729,"Tumor B"
2484.670654,863.182373,"Microglia B"
2530.996338,847.6523438,"Tumor B"
